"democracy","econ_growth","allies","contig","cprt","trade","contdisp","mid"
-0.7,0.133000004291534,1,1,0.0526999998092651,0.000600000028498471,1,1
-0.7,0.187000000476837,0,1,0.231200008392334,0,0,0
-0.1,-0.138999998569489,1,1,0.0355999994277954,0.0052000000141561,1,1
-0.8,0.374000000953674,1,0,16.6998999023437,0.000199999994947575,0,0
-0.6,-0.482000017166138,1,1,0.0214000010490417,0.00260000000707805,1,1
-0.7,-0.505999994277954,0,1,0.0279999995231628,0.000600000028498471,0,0
-0.7,0.175999999046326,0,0,18.3473999023437,0,0,0
-0.9,-1.23100004196167,0,0,6.28049987792969,0,0,0
-0.7,0.369000005722046,0,0,0.0513000011444092,0.0007999999797903,0,0
-0.8,0.142999994754791,0,0,0.151300001144409,0.000199999994947575,1,1
-0.7,-0.113999998569489,0,1,2.73170013427734,0,0,0
-0.7,0.340000009536743,0,0,4.30549987792969,0,0,0
-0.8,0.374000000953674,0,0,0.0370000004768372,0.0007999999797903,0,1
-0.9,-0.985000038146973,1,1,0.111499996185303,0.00179999996908009,0,0
-1,0.678000020980835,0,1,1.09019996643066,0,0,0
0,0.0810000002384186,0,1,0.0112999999523163,0.0136000001803041,1,1
-0.7,-1.54499998092651,0,0,5.35469970703125,0,0,0
0.8,-0.372000002861023,0,0,0.0721999979019165,0.000199999994947575,0,0
-1,-0.137000000476837,0,0,0.617599983215332,0.000199999994947575,0,0
-1,0.310999989509583,1,1,0.0240000009536743,0,1,1
0.1,-0.28199999332428,1,1,0.108199996948242,0.00439999997615814,0,1
0.2,0.128999996185303,0,1,0.0137000000476837,0.0812000036239624,0,1
-0.3,0.540000009536743,0,0,0.725999984741211,0,0,0
-0.8,-0.0400000005960464,0,1,0.0227999997138977,0,0,0
-1,0.0189999997615814,1,1,0.0235999989509583,0.00039999998989515,0,0
-0.8,-1.36499996185303,0,0,1.64600006103516,0,0,0
-0.8,0.25699999332428,0,0,0.0151999998092651,0,0,0
-0.9,0.298000001907349,1,1,0.123599996566772,0,1,1
0.8,0.196000003814697,0,0,2.73690002441406,0.0015999999595806,0,0
-0.8,0.436999988555908,0,0,0.0603000020980835,0.0007999999797903,0,0
-0.8,-1.28699998855591,0,0,0.2925,0.00039999998989515,0,0
-0.9,0.646999979019165,0,0,0.0172000002861023,0,1,1
-0.9,0.0689999997615814,0,1,0.0407999992370605,0.0015999999595806,1,1
-0.5,0.325999999046326,0,1,0.023199999332428,0,0,0
0,0.15,0,1,0.116099996566772,0.00460000010207295,0,0
-1,0.642000007629395,1,1,0.0329999995231628,0.00219999998807907,1,1
0.2,-0.195000004768372,1,0,0.51189998626709,0,0,0
1,0.252999997138977,1,0,6.42510009765625,0.000199999994947575,1,1
-0.9,-1.81000003814697,0,1,0.01,0.000199999994947575,1,1
-0.7,-0.00900000035762787,1,1,0.0130999994277954,0,0,0
-0.7,0.0200000002980232,0,0,0.434500007629395,0,0,0
0.7,-0.526000022888184,1,1,0.0325999999046326,0.000600000028498471,0,0
-0.8,0.209999990463257,0,0,0.0148000001907349,0,1,1
-0.5,-0.0769999980926514,0,1,0.0398000001907349,0.00300000002607703,0,0
-0.8,0.19099999666214,0,0,1.69889999389648,0,1,1
-0.8,0.721999979019165,0,0,0.0444000005722046,0,0,0
-0.7,-1.01000003814697,0,1,0.0388000011444092,0,0,0
-0.7,0.19099999666214,0,0,2.59619995117187,0,1,1
-0.7,0.285999989509582,0,0,0.424900016784668,0,0,0
-0.9,-0.985000038146973,1,1,0.0314000010490417,0,0,0
-0.8,0.258999991416931,0,0,0.0375,0.000199999994947575,1,1
-0.8,0.25,0,0,0.0373000001907349,0,1,1
-0.8,0.0629999995231628,0,0,0.0330999994277954,0,1,1
-1,-0.137000000476837,1,1,0.0244000005722046,0.00100000004749745,0,0
-0.8,-0.279999995231628,0,1,0.0119000005722046,0,0,0
-0.9,0.385999989509583,0,0,0.0161000001430511,0,1,1
-0.7,0.432000017166138,0,1,0.0688000011444092,0.0015999999595806,0,0
